short_x,short_y,match_x,match_y,2_x,2_y,3_x,3_y,4_x,4_y,x0005,y0005
1258.,1996.,,,,,,,,,,
1259.,2001.,,,,,,,,,,
1260.,2002.,,,,,,,,,,
1261.,2000.,,,,,,,,,,
1262.,2003.,,,,,,,,,,
1263.,2001.,,,,,,,,,,
1264.,1999.,,,,,,,,,,
1265.,1992.,,,,,,,,,,
1266.,1996.,,,,,,,,,,
1267.,1996.,,,,,,,,,,
1268.,1992.,,,,,,,,,,
1269.,1991.,,,,,,,,,,
1270.,1990.,,,,,,,,,,
1271.,1983.,,,,,,,,,,
1272.,1982.,,,,,,,,,,
1273.,1982.,,,,,,,,,,
1274.,1973.,,,,,,,,,,
1275.,1976.,,,,,,,,,,
1276.,1976.,,,,,,,,,,
1277.,1969.,,,,,,,,,,
1278.,1967.,,,,,,,,,,
1279.,1964.,,,,,,,,,,
1280.,1961.,,,,,,,,,,
1281.,1959.,,,,,,,,,,
1282.,1958.,,,,,,,,,,
1283.,1952.,,,,,,,,,,
1284.,1954.,,,,,,,,,,
1285.,1946.,,,,,,,,,,
1286.,1945.,,,,,,,,,,
1287.,1946.,,,,,,,,,,
1288.,1941.,,,,,,,,,,
1289.,1934.,,,,,,,,,,
1290.,1923.,,,,,,,,,,
1291.,1921.,,,,,,,,,,
1292.,1919.,,,,,,,,,,
1293.,1915.,,,,,,,,,,
1294.,1914.,,,,,,,,,,
1295.,1910.,,,,,,,,,,
1296.,1908.,,,,,,,,,,
1297.,1906.,,,,,,,,,,
1298.,1907.,,,,,,,,,,
1299.,1900.,,,,,,,,,,
1300.,1898.,,,,,,,,,,
1301.,1897.,,,,,,,,,,
1302.,1894.,,,,,,,,,,
1303.,1890.,,,,,,,,,,
1304.,1888.,,,,,,,,,,
1305.,1887.,,,,,,,,,,
1306.,1886.,,,,,,,,,,
1307.,1881.,,,,,,,,,,
1308.,1877.,,,,,,,,,,
1309.,1872.,,,,,,,,,,
1310.,1872.,,,,,,,,,,
1311.,1867.,,,,,,,,,,
1312.,1866.,,,,,,,,,,
1313.,1855.,,,,,,,,,,
1314.,1849.,,,,,,,,,,
1315.,1850.,,,,,,,,,,
1316.,1842.,,,,,,,,,,
1317.,1840.,,,,,,,,,,
1318.,1835.,,,,,,,,,,
1319.,1836.,,,,,,,,,,
1320.,1835.,,,,,,,,,,
1321.,1834.,,,,,,,,,,
1322.,1831.,,,,,,,,,,
1323.,1834.,,,,,,,,,,
1324.,1832.,,,,,,,,,,
1325.,1782.,,,,,,,,,,
1326.,1780.,,,,,,,,,,
1327.,1781.,,,,,,,,,,
1328.,1780.,,,,,,,,,,
1329.,1781.,,,,,,,,,,
1330.,1780.,,,,,,,,,,
1331.,1779.,,,,,,,,,,
1332.,1780.,,,,,,,,,,
1333.,1779.,,,,,,,,,,
1334.,1780.,,,,,,,,,,
1335.,1777.,,,,,,,,,,
1336.,1777.,,,,,,,,,,
1337.,1777.,,,,,,,,,,
1338.,1778.,,,,,,,,,,
1339.,1774.,,,,,,,,,,
1340.,1774.,,,,,,,,,,
1341.,1771.,,,,,,,,,,
1342.,1773.,,,,,,,,,,
1343.,1771.,,,,,,,,,,
1344.,1770.,,,,,,,,,,
1345.,1768.,,,,,,,,,,
1346.,1768.,,,,,,,,,,
1347.,1768.,,,,,,,,,,
1348.,1767.,,,,,,,,,,
1349.,1767.,,,,,,,,,,
1350.,1765.,,,,,,,,,,
1351.,1762.,,,,,,,,,,
1352.,1763.,,,,,,,,,,
1353.,1760.,,,,,,,,,,
1354.,1764.,,,,,,,,,,
1355.,1759.,,,,,,,,,,
1356.,1757.,,,,,,,,,,
1357.,1756.,,,,,,,,,,
1358.,1754.,,,,,,,,,,
1359.,1756.,,,,,,,,,,
1360.,1754.,,,,,,,,,,
1361.,1752.,,,,,,,,,,
1362.,1752.,,,,,,,,,,
1363.,1751.,,,,,,,,,,
1364.,1748.,,,,,,,,,,
1365.,1749.,,,,,,,,,,
1366.,1745.,,,,,,,,,,
1367.,1748.,,,,,,,,,,
1368.,1746.,,,,,,,,,,
1369.,1746.,,,,,,,,,,
1370.,1746.,,,,,,,,,,
1371.,1741.,,,,,,,,,,
1372.,1745.,,,,,,,,,,
